Reporting_Airline,DelayType,DelayAmount
Southwest,CarrierDelay,5
Southwest,CarrierDelay,19
SkyWest Airlines,CarrierDelay,17
Southwest,CarrierDelay,11
Delta Air Lines,CarrierDelay,3
Southwest,CarrierDelay,111
Southwest,CarrierDelay,20
ExpressJet Airlines,CarrierDelay,26
ExpressJet Airlines,CarrierDelay,1
SkyWest Airlines,CarrierDelay,53
American Airlines,CarrierDelay,21
United Air Lines,CarrierDelay,17
Southwest,CarrierDelay,4
American Airlines,CarrierDelay,3
Southwest,CarrierDelay,25
SkyWest Airlines,CarrierDelay,60
ExpressJet Airlines,CarrierDelay,141
ExpressJet Airlines,CarrierDelay,6
Southwest,CarrierDelay,2
United Air Lines,CarrierDelay,62
Southwest,CarrierDelay,62
Delta Air Lines,CarrierDelay,21
American Airlines,CarrierDelay,44
ExpressJet Airlines,CarrierDelay,16
Delta Air Lines,CarrierDelay,16
ExpressJet Airlines,CarrierDelay,18
Southwest,CarrierDelay,21
American Airlines,CarrierDelay,5
Southwest,CarrierDelay,6
American Airlines,CarrierDelay,3
Southwest,CarrierDelay,20
Delta Air Lines,CarrierDelay,34
SkyWest Airlines,CarrierDelay,79
Southwest,CarrierDelay,13
SkyWest Airlines,CarrierDelay,49
Delta Air Lines,CarrierDelay,6
Southwest,CarrierDelay,26
ExpressJet Airlines,CarrierDelay,23
SkyWest Airlines,CarrierDelay,42
ExpressJet Airlines,CarrierDelay,38
ExpressJet Airlines,CarrierDelay,2
Delta Air Lines,CarrierDelay,90
Southwest,CarrierDelay,1
Delta Air Lines,CarrierDelay,29
American Airlines,CarrierDelay,51
American Airlines,CarrierDelay,15
United Air Lines,CarrierDelay,4
United Air Lines,CarrierDelay,80
Southwest,CarrierDelay,8
ExpressJet Airlines,CarrierDelay,10
Southwest,CarrierDelay,8
Southwest,CarrierDelay,3
Delta Air Lines,CarrierDelay,24
Southwest,CarrierDelay,6
ExpressJet Airlines,CarrierDelay,7
Southwest,CarrierDelay,17
ExpressJet Airlines,CarrierDelay,1022
SkyWest Airlines,CarrierDelay,96
Southwest,CarrierDelay,27
American Airlines,CarrierDelay,24
ExpressJet Airlines,CarrierDelay,15
Southwest,CarrierDelay,22
United Air Lines,CarrierDelay,3
Southwest,CarrierDelay,1
Delta Air Lines,CarrierDelay,38
Southwest,CarrierDelay,6
Southwest,CarrierDelay,3
Southwest,CarrierDelay,29
Southwest,CarrierDelay,11
SkyWest Airlines,CarrierDelay,1
American Airlines,CarrierDelay,3
American Airlines,CarrierDelay,16
ExpressJet Airlines,CarrierDelay,65
American Airlines,CarrierDelay,40
American Airlines,CarrierDelay,34
Southwest,CarrierDelay,31
Delta Air Lines,CarrierDelay,104
Delta Air Lines,CarrierDelay,20
United Air Lines,CarrierDelay,17
SkyWest Airlines,CarrierDelay,267
ExpressJet Airlines,CarrierDelay,39
United Air Lines,CarrierDelay,22
American Airlines,CarrierDelay,4
ExpressJet Airlines,CarrierDelay,9
American Airlines,CarrierDelay,54
Southwest,CarrierDelay,14
Southwest,CarrierDelay,40
American Airlines,CarrierDelay,95
American Airlines,CarrierDelay,9
Southwest,CarrierDelay,107
Southwest,CarrierDelay,10
Southwest,CarrierDelay,7
Southwest,CarrierDelay,14
SkyWest Airlines,CarrierDelay,25
United Air Lines,CarrierDelay,11
Delta Air Lines,CarrierDelay,35
ExpressJet Airlines,CarrierDelay,6
Southwest,CarrierDelay,2
Southwest,CarrierDelay,35
Southwest,CarrierDelay,15
American Airlines,CarrierDelay,1
ExpressJet Airlines,CarrierDelay,7
ExpressJet Airlines,CarrierDelay,16
Southwest,CarrierDelay,13
American Airlines,CarrierDelay,50
Southwest,CarrierDelay,5
Delta Air Lines,CarrierDelay,11
ExpressJet Airlines,CarrierDelay,67
ExpressJet Airlines,CarrierDelay,53
Southwest,CarrierDelay,17
Southwest,CarrierDelay,47
Southwest,CarrierDelay,33
Southwest,CarrierDelay,2
Southwest,CarrierDelay,7
Southwest,CarrierDelay,14
ExpressJet Airlines,CarrierDelay,26
ExpressJet Airlines,CarrierDelay,10
Delta Air Lines,CarrierDelay,135
Southwest,CarrierDelay,16
Southwest,CarrierDelay,10
Southwest,CarrierDelay,11
Southwest,CarrierDelay,5
American Airlines,CarrierDelay,3
United Air Lines,CarrierDelay,106
Southwest,CarrierDelay,2
United Air Lines,CarrierDelay,9
United Air Lines,CarrierDelay,16
Delta Air Lines,CarrierDelay,24
Southwest,CarrierDelay,4
American Airlines,CarrierDelay,12
ExpressJet Airlines,CarrierDelay,22
Southwest,CarrierDelay,14
United Air Lines,CarrierDelay,24
Southwest,CarrierDelay,3
Southwest,CarrierDelay,98
ExpressJet Airlines,CarrierDelay,5
United Air Lines,CarrierDelay,21
Southwest,CarrierDelay,25
American Airlines,CarrierDelay,16
Southwest,CarrierDelay,22
American Airlines,CarrierDelay,19
Southwest,CarrierDelay,75
American Airlines,CarrierDelay,15
United Air Lines,CarrierDelay,2
Southwest,CarrierDelay,17
American Airlines,CarrierDelay,116
SkyWest Airlines,CarrierDelay,65
ExpressJet Airlines,CarrierDelay,3
Southwest,CarrierDelay,22
SkyWest Airlines,CarrierDelay,85
American Airlines,CarrierDelay,78
Southwest,CarrierDelay,24
Delta Air Lines,CarrierDelay,13
American Airlines,CarrierDelay,13
American Airlines,CarrierDelay,1
ExpressJet Airlines,CarrierDelay,50
ExpressJet Airlines,CarrierDelay,41
ExpressJet Airlines,CarrierDelay,27
American Airlines,CarrierDelay,23
Southwest,CarrierDelay,17
United Air Lines,CarrierDelay,9
United Air Lines,CarrierDelay,3
Southwest,CarrierDelay,6
Southwest,CarrierDelay,1
Southwest,CarrierDelay,7
American Airlines,CarrierDelay,20
Southwest,CarrierDelay,85
ExpressJet Airlines,CarrierDelay,8
Southwest,CarrierDelay,10
United Air Lines,CarrierDelay,66
American Airlines,CarrierDelay,19
United Air Lines,CarrierDelay,18
Delta Air Lines,CarrierDelay,8
Southwest,CarrierDelay,9
Southwest,CarrierDelay,12
American Airlines,CarrierDelay,37
Delta Air Lines,CarrierDelay,13
ExpressJet Airlines,CarrierDelay,1
ExpressJet Airlines,CarrierDelay,19
Southwest,CarrierDelay,44
Southwest,CarrierDelay,3
ExpressJet Airlines,CarrierDelay,61
SkyWest Airlines,CarrierDelay,10
ExpressJet Airlines,CarrierDelay,38
Southwest,CarrierDelay,17
Southwest,CarrierDelay,6
Delta Air Lines,CarrierDelay,106
Southwest,CarrierDelay,4
ExpressJet Airlines,CarrierDelay,17
ExpressJet Airlines,CarrierDelay,67
Southwest,CarrierDelay,4
American Airlines,CarrierDelay,34
Southwest,CarrierDelay,46
American Airlines,CarrierDelay,3
United Air Lines,CarrierDelay,42
Southwest,CarrierDelay,45
American Airlines,CarrierDelay,28
ExpressJet Airlines,CarrierDelay,31
Southwest,CarrierDelay,5
Southwest,CarrierDelay,6
ExpressJet Airlines,CarrierDelay,18
Southwest,CarrierDelay,9
American Airlines,CarrierDelay,12
Southwest,CarrierDelay,23
Southwest,CarrierDelay,2
Southwest,CarrierDelay,9
United Air Lines,CarrierDelay,55
American Airlines,CarrierDelay,91
Southwest,CarrierDelay,15
SkyWest Airlines,CarrierDelay,18
United Air Lines,CarrierDelay,24
Southwest,CarrierDelay,23
American Airlines,CarrierDelay,5
Delta Air Lines,CarrierDelay,45
ExpressJet Airlines,CarrierDelay,35
American Airlines,CarrierDelay,3
Southwest,CarrierDelay,7
American Airlines,CarrierDelay,4
SkyWest Airlines,CarrierDelay,119
American Airlines,CarrierDelay,517
SkyWest Airlines,CarrierDelay,20
Delta Air Lines,CarrierDelay,36
American Airlines,CarrierDelay,17
American Airlines,CarrierDelay,41
Southwest,CarrierDelay,11
Delta Air Lines,CarrierDelay,35
Southwest,CarrierDelay,30
ExpressJet Airlines,CarrierDelay,21
Southwest,CarrierDelay,52
United Air Lines,CarrierDelay,4
American Airlines,CarrierDelay,64
Delta Air Lines,CarrierDelay,16
United Air Lines,CarrierDelay,14
Delta Air Lines,CarrierDelay,9
ExpressJet Airlines,CarrierDelay,1
Delta Air Lines,CarrierDelay,36
ExpressJet Airlines,CarrierDelay,3
Southwest,CarrierDelay,4
United Air Lines,CarrierDelay,2
United Air Lines,CarrierDelay,10
Southwest,CarrierDelay,7
ExpressJet Airlines,CarrierDelay,26
United Air Lines,CarrierDelay,34
SkyWest Airlines,CarrierDelay,52
ExpressJet Airlines,CarrierDelay,20
ExpressJet Airlines,CarrierDelay,2
Southwest,CarrierDelay,80
Southwest,CarrierDelay,15
Southwest,CarrierDelay,89
United Air Lines,CarrierDelay,43
SkyWest Airlines,CarrierDelay,9
American Airlines,CarrierDelay,5
ExpressJet Airlines,CarrierDelay,19
American Airlines,CarrierDelay,13
Southwest,CarrierDelay,6
Southwest,CarrierDelay,4
United Air Lines,CarrierDelay,20
Delta Air Lines,CarrierDelay,13
