Reporting_Airline,DelayType,DelayAmount
Delta Air Lines,LateAircraftDelay,29
SkyWest Airlines,LateAircraftDelay,4
Southwest,LateAircraftDelay,53
Southwest,LateAircraftDelay,6
SkyWest Airlines,LateAircraftDelay,10
American Airlines,LateAircraftDelay,16
ExpressJet Airlines,LateAircraftDelay,47
SkyWest Airlines,LateAircraftDelay,14
Delta Air Lines,LateAircraftDelay,8
SkyWest Airlines,LateAircraftDelay,95
Southwest,LateAircraftDelay,9
Southwest,LateAircraftDelay,80
United Air Lines,LateAircraftDelay,20
Southwest,LateAircraftDelay,13
SkyWest Airlines,LateAircraftDelay,24
American Airlines,LateAircraftDelay,13
Delta Air Lines,LateAircraftDelay,12
American Airlines,LateAircraftDelay,28
Southwest,LateAircraftDelay,44
ExpressJet Airlines,LateAircraftDelay,28
Southwest,LateAircraftDelay,49
Southwest,LateAircraftDelay,75
United Air Lines,LateAircraftDelay,19
Southwest,LateAircraftDelay,35
Southwest,LateAircraftDelay,29
Delta Air Lines,LateAircraftDelay,14
Southwest,LateAircraftDelay,25
Southwest,LateAircraftDelay,9
SkyWest Airlines,LateAircraftDelay,87
ExpressJet Airlines,LateAircraftDelay,7
American Airlines,LateAircraftDelay,21
American Airlines,LateAircraftDelay,31
American Airlines,LateAircraftDelay,17
Southwest,LateAircraftDelay,36
ExpressJet Airlines,LateAircraftDelay,12
Southwest,LateAircraftDelay,33
Southwest,LateAircraftDelay,7
American Airlines,LateAircraftDelay,52
SkyWest Airlines,LateAircraftDelay,15
Southwest,LateAircraftDelay,2
Southwest,LateAircraftDelay,15
Southwest,LateAircraftDelay,70
Southwest,LateAircraftDelay,90
Southwest,LateAircraftDelay,13
Southwest,LateAircraftDelay,21
American Airlines,LateAircraftDelay,121
Southwest,LateAircraftDelay,25
United Air Lines,LateAircraftDelay,3
United Air Lines,LateAircraftDelay,66
SkyWest Airlines,LateAircraftDelay,102
United Air Lines,LateAircraftDelay,13
SkyWest Airlines,LateAircraftDelay,21
Delta Air Lines,LateAircraftDelay,100
United Air Lines,LateAircraftDelay,16
ExpressJet Airlines,LateAircraftDelay,5
SkyWest Airlines,LateAircraftDelay,2
American Airlines,LateAircraftDelay,15
Delta Air Lines,LateAircraftDelay,111
ExpressJet Airlines,LateAircraftDelay,2
United Air Lines,LateAircraftDelay,14
Southwest,LateAircraftDelay,24
United Air Lines,LateAircraftDelay,48
Southwest,LateAircraftDelay,33
American Airlines,LateAircraftDelay,11
American Airlines,LateAircraftDelay,250
Southwest,LateAircraftDelay,12
Delta Air Lines,LateAircraftDelay,119
ExpressJet Airlines,LateAircraftDelay,18
Southwest,LateAircraftDelay,14
Delta Air Lines,LateAircraftDelay,10
Southwest,LateAircraftDelay,84
Southwest,LateAircraftDelay,15
SkyWest Airlines,LateAircraftDelay,14
American Airlines,LateAircraftDelay,19
Southwest,LateAircraftDelay,13
Southwest,LateAircraftDelay,12
SkyWest Airlines,LateAircraftDelay,8
ExpressJet Airlines,LateAircraftDelay,141
ExpressJet Airlines,LateAircraftDelay,111
ExpressJet Airlines,LateAircraftDelay,15
Southwest,LateAircraftDelay,217
Southwest,LateAircraftDelay,27
ExpressJet Airlines,LateAircraftDelay,110
SkyWest Airlines,LateAircraftDelay,4
United Air Lines,LateAircraftDelay,34
Delta Air Lines,LateAircraftDelay,16
ExpressJet Airlines,LateAircraftDelay,142
SkyWest Airlines,LateAircraftDelay,13
SkyWest Airlines,LateAircraftDelay,6
Delta Air Lines,LateAircraftDelay,12
Southwest,LateAircraftDelay,87
Southwest,LateAircraftDelay,21
American Airlines,LateAircraftDelay,54
Southwest,LateAircraftDelay,1
Southwest,LateAircraftDelay,2
United Air Lines,LateAircraftDelay,31
Southwest,LateAircraftDelay,14
American Airlines,LateAircraftDelay,75
United Air Lines,LateAircraftDelay,70
American Airlines,LateAircraftDelay,142
ExpressJet Airlines,LateAircraftDelay,112
American Airlines,LateAircraftDelay,16
SkyWest Airlines,LateAircraftDelay,14
Delta Air Lines,LateAircraftDelay,26
Delta Air Lines,LateAircraftDelay,24
Southwest,LateAircraftDelay,6
Delta Air Lines,LateAircraftDelay,16
Southwest,LateAircraftDelay,35
Southwest,LateAircraftDelay,68
SkyWest Airlines,LateAircraftDelay,27
ExpressJet Airlines,LateAircraftDelay,97
SkyWest Airlines,LateAircraftDelay,169
United Air Lines,LateAircraftDelay,92
SkyWest Airlines,LateAircraftDelay,28
Delta Air Lines,LateAircraftDelay,154
Delta Air Lines,LateAircraftDelay,16
ExpressJet Airlines,LateAircraftDelay,16
ExpressJet Airlines,LateAircraftDelay,12
Southwest,LateAircraftDelay,7
Southwest,LateAircraftDelay,13
Delta Air Lines,LateAircraftDelay,11
American Airlines,LateAircraftDelay,106
SkyWest Airlines,LateAircraftDelay,83
Southwest,LateAircraftDelay,26
SkyWest Airlines,LateAircraftDelay,57
Southwest,LateAircraftDelay,18
United Air Lines,LateAircraftDelay,65
American Airlines,LateAircraftDelay,364
Southwest,LateAircraftDelay,22
American Airlines,LateAircraftDelay,4
Southwest,LateAircraftDelay,2
Southwest,LateAircraftDelay,53
Southwest,LateAircraftDelay,47
Southwest,LateAircraftDelay,11
SkyWest Airlines,LateAircraftDelay,14
ExpressJet Airlines,LateAircraftDelay,64
ExpressJet Airlines,LateAircraftDelay,18
Southwest,LateAircraftDelay,53
Southwest,LateAircraftDelay,11
SkyWest Airlines,LateAircraftDelay,34
Southwest,LateAircraftDelay,9
SkyWest Airlines,LateAircraftDelay,97
American Airlines,LateAircraftDelay,40
Southwest,LateAircraftDelay,32
Delta Air Lines,LateAircraftDelay,98
ExpressJet Airlines,LateAircraftDelay,37
Delta Air Lines,LateAircraftDelay,3
Delta Air Lines,LateAircraftDelay,49
SkyWest Airlines,LateAircraftDelay,28
American Airlines,LateAircraftDelay,10
United Air Lines,LateAircraftDelay,202
Southwest,LateAircraftDelay,50
American Airlines,LateAircraftDelay,33
SkyWest Airlines,LateAircraftDelay,19
SkyWest Airlines,LateAircraftDelay,53
SkyWest Airlines,LateAircraftDelay,10
Southwest,LateAircraftDelay,403
ExpressJet Airlines,LateAircraftDelay,112
Southwest,LateAircraftDelay,37
Southwest,LateAircraftDelay,45
Southwest,LateAircraftDelay,17
SkyWest Airlines,LateAircraftDelay,163
Southwest,LateAircraftDelay,21
Delta Air Lines,LateAircraftDelay,48
Southwest,LateAircraftDelay,19
Southwest,LateAircraftDelay,245
United Air Lines,LateAircraftDelay,57
United Air Lines,LateAircraftDelay,76
Southwest,LateAircraftDelay,48
Southwest,LateAircraftDelay,6
Delta Air Lines,LateAircraftDelay,67
Southwest,LateAircraftDelay,18
Southwest,LateAircraftDelay,3
ExpressJet Airlines,LateAircraftDelay,5
SkyWest Airlines,LateAircraftDelay,124
Delta Air Lines,LateAircraftDelay,56
SkyWest Airlines,LateAircraftDelay,1
Delta Air Lines,LateAircraftDelay,21
United Air Lines,LateAircraftDelay,191
Southwest,LateAircraftDelay,66
American Airlines,LateAircraftDelay,23
SkyWest Airlines,LateAircraftDelay,89
Southwest,LateAircraftDelay,22
Southwest,LateAircraftDelay,21
SkyWest Airlines,LateAircraftDelay,45
American Airlines,LateAircraftDelay,12
Delta Air Lines,LateAircraftDelay,159
SkyWest Airlines,LateAircraftDelay,7
Southwest,LateAircraftDelay,6
ExpressJet Airlines,LateAircraftDelay,8
American Airlines,LateAircraftDelay,59
Southwest,LateAircraftDelay,147
Southwest,LateAircraftDelay,14
ExpressJet Airlines,LateAircraftDelay,35
ExpressJet Airlines,LateAircraftDelay,61
United Air Lines,LateAircraftDelay,12
ExpressJet Airlines,LateAircraftDelay,18
American Airlines,LateAircraftDelay,113
SkyWest Airlines,LateAircraftDelay,19
Delta Air Lines,LateAircraftDelay,34
ExpressJet Airlines,LateAircraftDelay,5
American Airlines,LateAircraftDelay,71
United Air Lines,LateAircraftDelay,29
American Airlines,LateAircraftDelay,10
United Air Lines,LateAircraftDelay,17
Southwest,LateAircraftDelay,23
Southwest,LateAircraftDelay,9
SkyWest Airlines,LateAircraftDelay,89
ExpressJet Airlines,LateAircraftDelay,165
American Airlines,LateAircraftDelay,53
SkyWest Airlines,LateAircraftDelay,7
Southwest,LateAircraftDelay,27
American Airlines,LateAircraftDelay,23
Southwest,LateAircraftDelay,15
American Airlines,LateAircraftDelay,94
ExpressJet Airlines,LateAircraftDelay,1
SkyWest Airlines,LateAircraftDelay,39
Southwest,LateAircraftDelay,7
SkyWest Airlines,LateAircraftDelay,47
Delta Air Lines,LateAircraftDelay,19
SkyWest Airlines,LateAircraftDelay,21
Delta Air Lines,LateAircraftDelay,10
Southwest,LateAircraftDelay,27
American Airlines,LateAircraftDelay,36
SkyWest Airlines,LateAircraftDelay,8
Southwest,LateAircraftDelay,11
Southwest,LateAircraftDelay,22
ExpressJet Airlines,LateAircraftDelay,106
SkyWest Airlines,LateAircraftDelay,57
Southwest,LateAircraftDelay,12
SkyWest Airlines,LateAircraftDelay,29
SkyWest Airlines,LateAircraftDelay,28
Southwest,LateAircraftDelay,1
ExpressJet Airlines,LateAircraftDelay,42
United Air Lines,LateAircraftDelay,4
SkyWest Airlines,LateAircraftDelay,96
SkyWest Airlines,LateAircraftDelay,22
Southwest,LateAircraftDelay,54
Southwest,LateAircraftDelay,41
United Air Lines,LateAircraftDelay,190
SkyWest Airlines,LateAircraftDelay,1
Southwest,LateAircraftDelay,20
SkyWest Airlines,LateAircraftDelay,46
SkyWest Airlines,LateAircraftDelay,1
Southwest,LateAircraftDelay,62
ExpressJet Airlines,LateAircraftDelay,12
Southwest,LateAircraftDelay,15
United Air Lines,LateAircraftDelay,11
SkyWest Airlines,LateAircraftDelay,27
American Airlines,LateAircraftDelay,30
Southwest,LateAircraftDelay,65
United Air Lines,LateAircraftDelay,11
American Airlines,LateAircraftDelay,6
Southwest,LateAircraftDelay,8
SkyWest Airlines,LateAircraftDelay,38
United Air Lines,LateAircraftDelay,56
ExpressJet Airlines,LateAircraftDelay,7
Southwest,LateAircraftDelay,17
Southwest,LateAircraftDelay,1
American Airlines,LateAircraftDelay,41
ExpressJet Airlines,LateAircraftDelay,15
Southwest,LateAircraftDelay,104
Southwest,LateAircraftDelay,57
Southwest,LateAircraftDelay,13
United Air Lines,LateAircraftDelay,12
Southwest,LateAircraftDelay,29
Delta Air Lines,LateAircraftDelay,95
United Air Lines,LateAircraftDelay,275
American Airlines,LateAircraftDelay,50
Southwest,LateAircraftDelay,22
United Air Lines,LateAircraftDelay,213
ExpressJet Airlines,LateAircraftDelay,85
Delta Air Lines,LateAircraftDelay,57
Southwest,LateAircraftDelay,25
ExpressJet Airlines,LateAircraftDelay,60
Southwest,LateAircraftDelay,402
American Airlines,LateAircraftDelay,90
SkyWest Airlines,LateAircraftDelay,15
Southwest,LateAircraftDelay,24
Southwest,LateAircraftDelay,90
United Air Lines,LateAircraftDelay,10
ExpressJet Airlines,LateAircraftDelay,21
American Airlines,LateAircraftDelay,7
Southwest,LateAircraftDelay,51
ExpressJet Airlines,LateAircraftDelay,185
Delta Air Lines,LateAircraftDelay,16
United Air Lines,LateAircraftDelay,116
SkyWest Airlines,LateAircraftDelay,61
American Airlines,LateAircraftDelay,2
Southwest,LateAircraftDelay,30
Delta Air Lines,LateAircraftDelay,48
ExpressJet Airlines,LateAircraftDelay,4
Southwest,LateAircraftDelay,18
American Airlines,LateAircraftDelay,27
ExpressJet Airlines,LateAircraftDelay,38
ExpressJet Airlines,LateAircraftDelay,71
Southwest,LateAircraftDelay,221
SkyWest Airlines,LateAircraftDelay,316
Southwest,LateAircraftDelay,11
Delta Air Lines,LateAircraftDelay,31
American Airlines,LateAircraftDelay,24
Southwest,LateAircraftDelay,142
Delta Air Lines,LateAircraftDelay,28
Southwest,LateAircraftDelay,10
Delta Air Lines,LateAircraftDelay,7
Delta Air Lines,LateAircraftDelay,26
American Airlines,LateAircraftDelay,26
Southwest,LateAircraftDelay,31
Delta Air Lines,LateAircraftDelay,28
Southwest,LateAircraftDelay,10
Southwest,LateAircraftDelay,13
American Airlines,LateAircraftDelay,104
ExpressJet Airlines,LateAircraftDelay,35
SkyWest Airlines,LateAircraftDelay,12
Delta Air Lines,LateAircraftDelay,2
Southwest,LateAircraftDelay,67
Southwest,LateAircraftDelay,13
American Airlines,LateAircraftDelay,22
Southwest,LateAircraftDelay,43
SkyWest Airlines,LateAircraftDelay,77
SkyWest Airlines,LateAircraftDelay,15
Southwest,LateAircraftDelay,38
Southwest,LateAircraftDelay,40
Delta Air Lines,LateAircraftDelay,17
Southwest,LateAircraftDelay,18
American Airlines,LateAircraftDelay,133
American Airlines,LateAircraftDelay,29
Delta Air Lines,LateAircraftDelay,31
Southwest,LateAircraftDelay,19
ExpressJet Airlines,LateAircraftDelay,59
American Airlines,LateAircraftDelay,79
SkyWest Airlines,LateAircraftDelay,42
Delta Air Lines,LateAircraftDelay,81
Southwest,LateAircraftDelay,50
Southwest,LateAircraftDelay,19
Delta Air Lines,LateAircraftDelay,62
SkyWest Airlines,LateAircraftDelay,9
ExpressJet Airlines,LateAircraftDelay,50
United Air Lines,LateAircraftDelay,63
Southwest,LateAircraftDelay,103
Southwest,LateAircraftDelay,10
SkyWest Airlines,LateAircraftDelay,77
ExpressJet Airlines,LateAircraftDelay,112
SkyWest Airlines,LateAircraftDelay,68
American Airlines,LateAircraftDelay,29
Southwest,LateAircraftDelay,16
ExpressJet Airlines,LateAircraftDelay,39
Southwest,LateAircraftDelay,106
Southwest,LateAircraftDelay,4
United Air Lines,LateAircraftDelay,20
ExpressJet Airlines,LateAircraftDelay,91
Southwest,LateAircraftDelay,26
Southwest,LateAircraftDelay,54
American Airlines,LateAircraftDelay,43
Southwest,LateAircraftDelay,12
United Air Lines,LateAircraftDelay,25
Southwest,LateAircraftDelay,17
United Air Lines,LateAircraftDelay,52
United Air Lines,LateAircraftDelay,5
Southwest,LateAircraftDelay,8
Southwest,LateAircraftDelay,66
American Airlines,LateAircraftDelay,73
SkyWest Airlines,LateAircraftDelay,21
Delta Air Lines,LateAircraftDelay,17
Southwest,LateAircraftDelay,25
Southwest,LateAircraftDelay,12
Southwest,LateAircraftDelay,97
Southwest,LateAircraftDelay,24
American Airlines,LateAircraftDelay,103
Southwest,LateAircraftDelay,59
Southwest,LateAircraftDelay,4
Southwest,LateAircraftDelay,44
SkyWest Airlines,LateAircraftDelay,35
SkyWest Airlines,LateAircraftDelay,82
Southwest,LateAircraftDelay,7
SkyWest Airlines,LateAircraftDelay,57
Southwest,LateAircraftDelay,9
Southwest,LateAircraftDelay,7
United Air Lines,LateAircraftDelay,129
United Air Lines,LateAircraftDelay,92
American Airlines,LateAircraftDelay,58
Southwest,LateAircraftDelay,167
Southwest,LateAircraftDelay,71
Southwest,LateAircraftDelay,34
American Airlines,LateAircraftDelay,72
American Airlines,LateAircraftDelay,1
SkyWest Airlines,LateAircraftDelay,16
ExpressJet Airlines,LateAircraftDelay,42
Southwest,LateAircraftDelay,1
ExpressJet Airlines,LateAircraftDelay,88
American Airlines,LateAircraftDelay,16
Southwest,LateAircraftDelay,31
United Air Lines,LateAircraftDelay,4
SkyWest Airlines,LateAircraftDelay,114
Southwest,LateAircraftDelay,15
Southwest,LateAircraftDelay,10
Southwest,LateAircraftDelay,15
Southwest,LateAircraftDelay,35
Southwest,LateAircraftDelay,11
American Airlines,LateAircraftDelay,296
Southwest,LateAircraftDelay,49
ExpressJet Airlines,LateAircraftDelay,58
United Air Lines,LateAircraftDelay,17
SkyWest Airlines,LateAircraftDelay,15
Southwest,LateAircraftDelay,128
Delta Air Lines,LateAircraftDelay,1
American Airlines,LateAircraftDelay,169
United Air Lines,LateAircraftDelay,20
American Airlines,LateAircraftDelay,11
Southwest,LateAircraftDelay,29
SkyWest Airlines,LateAircraftDelay,27
Southwest,LateAircraftDelay,16
United Air Lines,LateAircraftDelay,133
Southwest,LateAircraftDelay,15
Southwest,LateAircraftDelay,193
Southwest,LateAircraftDelay,3
Southwest,LateAircraftDelay,26
ExpressJet Airlines,LateAircraftDelay,40
Southwest,LateAircraftDelay,15
Delta Air Lines,LateAircraftDelay,37
Southwest,LateAircraftDelay,13
United Air Lines,LateAircraftDelay,41
Delta Air Lines,LateAircraftDelay,18
American Airlines,LateAircraftDelay,38
Southwest,LateAircraftDelay,30
Southwest,LateAircraftDelay,6
Delta Air Lines,LateAircraftDelay,108
Southwest,LateAircraftDelay,59
American Airlines,LateAircraftDelay,1
United Air Lines,LateAircraftDelay,2
Southwest,LateAircraftDelay,40
Delta Air Lines,LateAircraftDelay,83
ExpressJet Airlines,LateAircraftDelay,45
Southwest,LateAircraftDelay,1
ExpressJet Airlines,LateAircraftDelay,11
United Air Lines,LateAircraftDelay,7
Southwest,LateAircraftDelay,40
United Air Lines,LateAircraftDelay,16
SkyWest Airlines,LateAircraftDelay,45
Southwest,LateAircraftDelay,41
Southwest,LateAircraftDelay,22
Southwest,LateAircraftDelay,12
ExpressJet Airlines,LateAircraftDelay,191
Southwest,LateAircraftDelay,10
Southwest,LateAircraftDelay,37
Southwest,LateAircraftDelay,12
Southwest,LateAircraftDelay,6
American Airlines,LateAircraftDelay,225
Delta Air Lines,LateAircraftDelay,9
SkyWest Airlines,LateAircraftDelay,26
Southwest,LateAircraftDelay,153
SkyWest Airlines,LateAircraftDelay,80
Delta Air Lines,LateAircraftDelay,21
ExpressJet Airlines,LateAircraftDelay,8
Southwest,LateAircraftDelay,75
Southwest,LateAircraftDelay,11
Delta Air Lines,LateAircraftDelay,10
Southwest,LateAircraftDelay,116
ExpressJet Airlines,LateAircraftDelay,28
Southwest,LateAircraftDelay,2
United Air Lines,LateAircraftDelay,88
American Airlines,LateAircraftDelay,37
SkyWest Airlines,LateAircraftDelay,30
Southwest,LateAircraftDelay,31
American Airlines,LateAircraftDelay,21
SkyWest Airlines,LateAircraftDelay,62
Southwest,LateAircraftDelay,20
Southwest,LateAircraftDelay,59
Southwest,LateAircraftDelay,26
Southwest,LateAircraftDelay,16
ExpressJet Airlines,LateAircraftDelay,51
ExpressJet Airlines,LateAircraftDelay,71
SkyWest Airlines,LateAircraftDelay,169
Southwest,LateAircraftDelay,8
Delta Air Lines,LateAircraftDelay,16
Southwest,LateAircraftDelay,64
ExpressJet Airlines,LateAircraftDelay,17
Southwest,LateAircraftDelay,25
SkyWest Airlines,LateAircraftDelay,53
Delta Air Lines,LateAircraftDelay,75
SkyWest Airlines,LateAircraftDelay,25
American Airlines,LateAircraftDelay,9
Southwest,LateAircraftDelay,19
ExpressJet Airlines,LateAircraftDelay,50
Southwest,LateAircraftDelay,11
United Air Lines,LateAircraftDelay,24
Southwest,LateAircraftDelay,35
Southwest,LateAircraftDelay,28
ExpressJet Airlines,LateAircraftDelay,6
American Airlines,LateAircraftDelay,39
American Airlines,LateAircraftDelay,69
Southwest,LateAircraftDelay,12
American Airlines,LateAircraftDelay,9
ExpressJet Airlines,LateAircraftDelay,33
Southwest,LateAircraftDelay,7
Southwest,LateAircraftDelay,60
American Airlines,LateAircraftDelay,26
SkyWest Airlines,LateAircraftDelay,72
SkyWest Airlines,LateAircraftDelay,64
Southwest,LateAircraftDelay,21
Southwest,LateAircraftDelay,16
SkyWest Airlines,LateAircraftDelay,23
Delta Air Lines,LateAircraftDelay,163
Southwest,LateAircraftDelay,5
Southwest,LateAircraftDelay,197
Southwest,LateAircraftDelay,9
Southwest,LateAircraftDelay,28
SkyWest Airlines,LateAircraftDelay,41
SkyWest Airlines,LateAircraftDelay,13
Southwest,LateAircraftDelay,21
Delta Air Lines,LateAircraftDelay,60
SkyWest Airlines,LateAircraftDelay,191
SkyWest Airlines,LateAircraftDelay,1
Delta Air Lines,LateAircraftDelay,11
Delta Air Lines,LateAircraftDelay,82
Delta Air Lines,LateAircraftDelay,34
Southwest,LateAircraftDelay,32
SkyWest Airlines,LateAircraftDelay,54
Southwest,LateAircraftDelay,6
Delta Air Lines,LateAircraftDelay,283
SkyWest Airlines,LateAircraftDelay,12
American Airlines,LateAircraftDelay,71
Southwest,LateAircraftDelay,10
Southwest,LateAircraftDelay,20
Southwest,LateAircraftDelay,72
Southwest,LateAircraftDelay,38
Delta Air Lines,LateAircraftDelay,15
Southwest,LateAircraftDelay,33
SkyWest Airlines,LateAircraftDelay,12
American Airlines,LateAircraftDelay,49
American Airlines,LateAircraftDelay,91
Southwest,LateAircraftDelay,44
SkyWest Airlines,LateAircraftDelay,27
Delta Air Lines,LateAircraftDelay,67
Delta Air Lines,LateAircraftDelay,119
Southwest,LateAircraftDelay,7
SkyWest Airlines,LateAircraftDelay,35
Southwest,LateAircraftDelay,36
American Airlines,LateAircraftDelay,18
Southwest,LateAircraftDelay,12
American Airlines,LateAircraftDelay,8
SkyWest Airlines,LateAircraftDelay,77
Southwest,LateAircraftDelay,51
Southwest,LateAircraftDelay,115
Southwest,LateAircraftDelay,20
SkyWest Airlines,LateAircraftDelay,20
ExpressJet Airlines,LateAircraftDelay,133
Southwest,LateAircraftDelay,16
Southwest,LateAircraftDelay,11
American Airlines,LateAircraftDelay,17
Southwest,LateAircraftDelay,54
Southwest,LateAircraftDelay,26
ExpressJet Airlines,LateAircraftDelay,6
Southwest,LateAircraftDelay,78
SkyWest Airlines,LateAircraftDelay,22
American Airlines,LateAircraftDelay,31
SkyWest Airlines,LateAircraftDelay,20
American Airlines,LateAircraftDelay,3
SkyWest Airlines,LateAircraftDelay,94
Southwest,LateAircraftDelay,14
ExpressJet Airlines,LateAircraftDelay,50
SkyWest Airlines,LateAircraftDelay,35
SkyWest Airlines,LateAircraftDelay,1
Southwest,LateAircraftDelay,85
ExpressJet Airlines,LateAircraftDelay,15
Southwest,LateAircraftDelay,60
Southwest,LateAircraftDelay,1
United Air Lines,LateAircraftDelay,7
American Airlines,LateAircraftDelay,11
Southwest,LateAircraftDelay,85
Southwest,LateAircraftDelay,47
Delta Air Lines,LateAircraftDelay,76
United Air Lines,LateAircraftDelay,66
Southwest,LateAircraftDelay,17
SkyWest Airlines,LateAircraftDelay,18
Southwest,LateAircraftDelay,3
Southwest,LateAircraftDelay,21
ExpressJet Airlines,LateAircraftDelay,16
Southwest,LateAircraftDelay,10
Southwest,LateAircraftDelay,145
ExpressJet Airlines,LateAircraftDelay,24
Southwest,LateAircraftDelay,2
Southwest,LateAircraftDelay,45
American Airlines,LateAircraftDelay,117
Southwest,LateAircraftDelay,18
SkyWest Airlines,LateAircraftDelay,132
Southwest,LateAircraftDelay,18
Southwest,LateAircraftDelay,31
ExpressJet Airlines,LateAircraftDelay,3
SkyWest Airlines,LateAircraftDelay,6
American Airlines,LateAircraftDelay,15
Delta Air Lines,LateAircraftDelay,28
ExpressJet Airlines,LateAircraftDelay,35
Southwest,LateAircraftDelay,12
United Air Lines,LateAircraftDelay,36
ExpressJet Airlines,LateAircraftDelay,44
Southwest,LateAircraftDelay,27
American Airlines,LateAircraftDelay,48
Southwest,LateAircraftDelay,31
ExpressJet Airlines,LateAircraftDelay,28
SkyWest Airlines,LateAircraftDelay,15
American Airlines,LateAircraftDelay,18
SkyWest Airlines,LateAircraftDelay,14
SkyWest Airlines,LateAircraftDelay,55
SkyWest Airlines,LateAircraftDelay,54
ExpressJet Airlines,LateAircraftDelay,46
Delta Air Lines,LateAircraftDelay,30
SkyWest Airlines,LateAircraftDelay,73
Southwest,LateAircraftDelay,19
Southwest,LateAircraftDelay,11
Southwest,LateAircraftDelay,174
Southwest,LateAircraftDelay,63
Southwest,LateAircraftDelay,53
SkyWest Airlines,LateAircraftDelay,32
United Air Lines,LateAircraftDelay,8
American Airlines,LateAircraftDelay,26
SkyWest Airlines,LateAircraftDelay,76
Southwest,LateAircraftDelay,18
Delta Air Lines,LateAircraftDelay,38
American Airlines,LateAircraftDelay,206
ExpressJet Airlines,LateAircraftDelay,58
Southwest,LateAircraftDelay,27
Southwest,LateAircraftDelay,5
Southwest,LateAircraftDelay,14
Southwest,LateAircraftDelay,13
SkyWest Airlines,LateAircraftDelay,15
United Air Lines,LateAircraftDelay,3
Southwest,LateAircraftDelay,12
Southwest,LateAircraftDelay,94
American Airlines,LateAircraftDelay,54
Southwest,LateAircraftDelay,34
Southwest,LateAircraftDelay,10
United Air Lines,LateAircraftDelay,66
Southwest,LateAircraftDelay,251
Southwest,LateAircraftDelay,11
Southwest,LateAircraftDelay,24
American Airlines,LateAircraftDelay,16
Southwest,LateAircraftDelay,35
American Airlines,LateAircraftDelay,8
American Airlines,LateAircraftDelay,53
United Air Lines,LateAircraftDelay,29
American Airlines,LateAircraftDelay,22
Southwest,LateAircraftDelay,29
Southwest,LateAircraftDelay,18
ExpressJet Airlines,LateAircraftDelay,33
American Airlines,LateAircraftDelay,8
United Air Lines,LateAircraftDelay,70
Southwest,LateAircraftDelay,4
ExpressJet Airlines,LateAircraftDelay,14
ExpressJet Airlines,LateAircraftDelay,70
United Air Lines,LateAircraftDelay,141
SkyWest Airlines,LateAircraftDelay,34
United Air Lines,LateAircraftDelay,8
Southwest,LateAircraftDelay,10
SkyWest Airlines,LateAircraftDelay,7
ExpressJet Airlines,LateAircraftDelay,46
Delta Air Lines,LateAircraftDelay,38
United Air Lines,LateAircraftDelay,31
American Airlines,LateAircraftDelay,13
Delta Air Lines,LateAircraftDelay,20
ExpressJet Airlines,LateAircraftDelay,19
Southwest,LateAircraftDelay,198
United Air Lines,LateAircraftDelay,12
Southwest,LateAircraftDelay,21
American Airlines,LateAircraftDelay,24
Southwest,LateAircraftDelay,49
Southwest,LateAircraftDelay,4
United Air Lines,LateAircraftDelay,512
Southwest,LateAircraftDelay,17
SkyWest Airlines,LateAircraftDelay,8
Southwest,LateAircraftDelay,67
SkyWest Airlines,LateAircraftDelay,2
ExpressJet Airlines,LateAircraftDelay,164
Southwest,LateAircraftDelay,84
Southwest,LateAircraftDelay,70
Southwest,LateAircraftDelay,32
Southwest,LateAircraftDelay,14
Delta Air Lines,LateAircraftDelay,9
Southwest,LateAircraftDelay,11
ExpressJet Airlines,LateAircraftDelay,86
American Airlines,LateAircraftDelay,7
ExpressJet Airlines,LateAircraftDelay,28
ExpressJet Airlines,LateAircraftDelay,18
SkyWest Airlines,LateAircraftDelay,7
Southwest,LateAircraftDelay,9
Delta Air Lines,LateAircraftDelay,18
Southwest,LateAircraftDelay,20
SkyWest Airlines,LateAircraftDelay,33
SkyWest Airlines,LateAircraftDelay,67
American Airlines,LateAircraftDelay,3
American Airlines,LateAircraftDelay,1
American Airlines,LateAircraftDelay,134
Delta Air Lines,LateAircraftDelay,19
Southwest,LateAircraftDelay,9
SkyWest Airlines,LateAircraftDelay,25
Delta Air Lines,LateAircraftDelay,29
Southwest,LateAircraftDelay,14
ExpressJet Airlines,LateAircraftDelay,120
Southwest,LateAircraftDelay,15
Southwest,LateAircraftDelay,8
Southwest,LateAircraftDelay,37
SkyWest Airlines,LateAircraftDelay,62
SkyWest Airlines,LateAircraftDelay,18
Southwest,LateAircraftDelay,11
Southwest,LateAircraftDelay,16
Delta Air Lines,LateAircraftDelay,86
Southwest,LateAircraftDelay,14
Southwest,LateAircraftDelay,15
ExpressJet Airlines,LateAircraftDelay,22
Southwest,LateAircraftDelay,45
Southwest,LateAircraftDelay,38
Delta Air Lines,LateAircraftDelay,13
Southwest,LateAircraftDelay,1
ExpressJet Airlines,LateAircraftDelay,72
SkyWest Airlines,LateAircraftDelay,129
American Airlines,LateAircraftDelay,67
United Air Lines,LateAircraftDelay,15
Southwest,LateAircraftDelay,18
SkyWest Airlines,LateAircraftDelay,18
United Air Lines,LateAircraftDelay,8
Southwest,LateAircraftDelay,9
ExpressJet Airlines,LateAircraftDelay,26
SkyWest Airlines,LateAircraftDelay,80
Southwest,LateAircraftDelay,89
SkyWest Airlines,LateAircraftDelay,70
Southwest,LateAircraftDelay,6
